Model,File_Size_MB,Mean_Latency_ms,P50_Latency_ms,P95_Latency_ms,Std_Latency_ms
FP32,8.471696853637695,0.5876010000065435,0.5500500001289765,0.7714250000390163,0.1992546787373591
INT8,N/A,N/A,N/A,N/A,N/A
