Model,File_Size_MB,Mean_Latency_ms,P50_Latency_ms,P95_Latency_ms,Std_Latency_ms
FP32,8.471696853637695,0.5690655000034894,0.488549999317911,0.8534950006833237,0.42765435872277696
INT8,N/A,N/A,N/A,N/A,N/A
